Name,Details
Godrej Yummiez Chicken Nuggets,"Manufacturer Address : Godrej Tyson Foods Ltd, No. 77/1, 83/2, 84/1, Jangamanekote Road, Doddahullur Village, Hoskote Taluk, Bangalore Rural Distict, -562114."
Godrej Yummiez Chicken Nuggets,"Nutritional Info : Nutritional Information Per 100 g:Energy (187.8kcal),Protein (11.9g),Carbohydrate(3.13g),Sugar <0.1g,Fat 12.36g"
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,Description : McCain Crunchy Potato Nuggets - Chilli Garlic Potato Bites 700 g
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,Country of Origin : India
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,Shelf Life : 18 months
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,FSSAI License : 10013011001570
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,Manufacturer Name : McCain Foods India PVT LTD
McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets,"Manufacturer Address : McCain Foods India PVT LTD, SH - 41, P.O.Baliasan, Mehsana - 382732, Gujarat, India."
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,"Description : Make a decadent chocolate cake at home anytime, in just a few minutes with the Weikfield Cooker Cake Mix. One carton is enough to serve 6. Contains quality ingredients that enhance taste, so you can enjoy a delicious chocolate cake. Use the cake mix to prepare a wide range of our popular recipes on www.weikfield.com/recipes. Also available in Vanilla flavour."
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,Country of Origin : India
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,Shelf Life : 9 months
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,FSSAI License : 10012062000166
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,"Ingredients : Refined Wheat Flour, Cocoa, Corn Starch, Dextrose"
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,Manufacturer Name : Weikfield Foods Pvt. Ltd
